site_code,latitude,longitude
NCMP-S3,-33.53314,115.02687
WA28,-32.2724,115.68594
WA30,-32.26806,115.68492
WA39,-31.8678,115.75136
WA43,-31.82756,115.73277
JMP-S2,-30.21523,114.99207
NCMP-S11,-34.37373,115.13325
NCMP-S12,-34.38063,115.15519
PD-S18,-43.33358,145.96667
PD-S19,-43.36944,145.93323999999998
PD-S20,-43.31814,145.87366
PD-S22,-43.30063,145.90294
PD-S24,-43.32943,145.98819
PD-S27,-43.36995,145.93801000000002
PD-S28,-43.31604,145.87587
PD-S29,-43.33056,145.99501
PD-S7,-43.36119,145.95775
PPH34,-38.28882,144.59412
VIC38,-38.4142,144.22044
VIC39,-38.3467,144.32455
GSV45,-35.3777,138.36288000000002
GSV45,-35.3777,138.36288
PPB12,-38.16274,145.08791000000002
PPB12,-38.16274,145.08791
VIC40,-38.32853,144.3577
GSV128,-35.16775,138.46227
NCMP-S18,-33.992129999999996,114.98481
TN-S1,-41.15373,146.31517
TN-S2,-41.14274,146.42592
PPB10,-37.89712,144.98273
NCMP-S10,-34.37749,115.12692
GSV106,-35.44665,138.30497
CS11,-16.936529999999998,149.19696000000002
CS11,-16.93653,149.19696
CS111,-17.712979999999998,150.7345
CS111,-17.71298,150.7345
CS12,-16.93007,149.19332
CS126,-17.71666,148.43873
CS127,-17.71505,148.4373
CS129,-17.703039999999998,148.46176
CS129,-17.70304,148.46176
CS13,-16.92822,149.20228
CS130,-16.93133,149.999
CS131,-16.930120000000002,150.00203
CS131,-16.93012,150.00203
CS140,-16.530910000000002,150.26973
CS140,-16.53091,150.26973
CS141,-16.520970000000002,150.27712
CS141,-16.52097,150.27712
CS145,-16.2927,149.96138
CS148,-16.508129999999998,147.84016
CS148,-16.50813,147.84016
CS149,-16.50487,147.84136999999998
CS149,-16.50487,147.84137
CS155,-13.8914,146.55312
CS156,-13.88295,146.56243
CS158,-13.870029999999998,146.57765
CS158,-13.87003,146.57765
CS17,-16.97162,149.90476
CS172,-15.48253,147.0993
CS175,-15.4908,147.08723
CS176,-15.48135,147.10453
CS177,-13.98559,146.69138999999998
CS177,-13.98559,146.69139
CS179,-13.97563,146.67549
CS18,-16.96134,149.90547
CS180,-13.966879999999998,146.66721
CS180,-13.96688,146.66721
CS181,-13.966170000000002,146.6806
CS181,-13.96617,146.6806
CS182,-13.89028,146.57249
CS183,-13.88715,146.56733
CS190,-10.29918,144.5215
CS192,-10.37655,144.53283000000002
CS192,-10.37655,144.53283
CS195,-10.21767,144.5954
CS197,-10.22733,144.58955
CS198,-10.23257,144.58684
CS208,-9.98877,144.6913
CS211,-10.14414,144.57626000000002
CS211,-10.14414,144.57626
CS22,-23.25491,155.55458000000002
CS22,-23.25491,155.55458
CS220,-18.98672,152.34509
CS221,-18.98545,152.34116
CS23,-23.24037,155.55701000000002
CS23,-23.24037,155.55701
CS232,-19.25858,152.34788
CS25,-23.244,155.54893
CS34,-22.17084,155.45462
CS41,-22.1977,155.29443
CS44,-22.17629,155.16463000000002
CS44,-22.17629,155.16463
CS45,-22.17583,155.17796
CS52,-21.25707,155.7542
CS73,-20.93697,154.39571999999998
CS73,-20.93697,154.39572
CS74,-20.93624,154.39723
CS78,-17.41968,155.85163
CS9,-16.92194,149.20002
EMR21,-29.95787,159.02813999999998
EMR21,-29.95787,159.02814
