"site_code","survey_year","species_name","percent_cover","sqrt_pcover","latitude","longitude","n_sites_byspp","n_obs_byspp","transect_id","n_site_species"
"LHI49",2012,"Seriatopora caliendrum",1,1,-32,159,6,212,"LHI49_2012",6
"NMP-S3",2012,"Porites annae",4,2,-23,114,4,63,"NMP-S3_2012",4
"NMP-S3",2012,"Seriatopora caliendrum",1,1,-23,114,4,212,"NMP-S3_2012",4
"NMP6",2012,"Porites annae",8,2.82842712474619,-23,114,4,63,"NMP6_2012",4
"NMP6",2012,"Montipora aequituberculata",3,1.73205080756888,-23,114,4,90,"NMP6_2012",4
"NMP11",2012,"Montipora aequituberculata",3,1.73205080756888,-23,114,4,90,"NMP11_2012",4
"NMP20",2012,"Goniastrea pectinata",1,1,-23,114,4,379,"NMP20_2012",4
"CS3",2012,"Coscinaraea columna",1,1,-19,152,5,134,"CS3_2012",5
"CS3",2012,"Goniastrea pectinata",1,1,-19,152,5,379,"CS3_2012",5
"CS3",2012,"Porites lichen",1,1,-19,152,5,311,"CS3_2012",5
"CS3",2012,"Stylophora pistillata",1.1,1.04880884817015,-19,152,5,576,"CS3_2012",5
"CS4",2012,"Coscinaraea columna",2.4,1.54919333848297,-19,152,6,134,"CS4_2012",6
"CS4",2012,"Goniastrea pectinata",2.25,1.5,-19,152,6,379,"CS4_2012",6
"CS4",2012,"Porites lichen",0.8,0.894427190999916,-19,152,6,311,"CS4_2012",6
"CS7",2012,"Pocillopora verrucosa",1.15,1.07238052947636,-19,152,6,446,"CS7_2012",6
"SI24",2012,"Turbinaria mesenterina",18.55,4.30697109347161,-30,153,4,72,"SI24_2012",4
"SI24",2012,"Acropora glauca",6.6,2.56904651573303,-30,153,4,98,"SI24_2012",4
"SI24",2012,"Platygyra daedalea",3.9,1.97484176581315,-30,153,4,154,"SI24_2012",4
"LHI18",2014,"Isopora cuneata",15.5,3.93700393700591,-31,159,5,139,"LHI18_2014",5
"LHI18",2014,"Astrea curta",1,1,-31,159,5,207,"LHI18_2014",5
"LHI38",2014,"Pocillopora damicornis",1,1,-32,159,7,459,"LHI38_2014",7
"LHI38",2014,"Stylophora pistillata",0,0,NA,NA,7,576,"LHI38_2014",7
"LHI49",2014,"Isopora cuneata",4,2,-32,159,6,139,"LHI49_2014",6
"LHI49",2014,"Pocillopora damicornis",2,1.4142135623731,-32,159,6,459,"LHI49_2014",6
"LHI49",2014,"Stylophora pistillata",1,1,-32,159,6,576,"LHI49_2014",6
"LHI49",2014,"Porites heronensis",2.05,1.43178210632764,-32,159,6,134,"LHI49_2014",6
"LHI49",2014,"Acropora glauca",7,2.64575131106459,-32,159,6,98,"LHI49_2014",6
"LHI49",2014,"Seriatopora caliendrum",2.05,1.43178210632764,-32,159,6,212,"LHI49_2014",6
"LHI5",2014,"Isopora cuneata",8,2.82842712474619,-32,159,7,139,"LHI5_2014",7
"LHI5",2014,"Pocillopora damicornis",1.7,1.30384048104053,-32,159,7,459,"LHI5_2014",7
"LHI5",2014,"Porites heronensis",5.8,2.40831891575846,-32,159,7,134,"LHI5_2014",7
"LHI5",2014,"Stylophora pistillata",2.3,1.51657508881031,-32,159,7,576,"LHI5_2014",7
"LHI5",2014,"Seriatopora caliendrum",16.5,4.06201920231798,-32,159,7,212,"LHI5_2014",7
"LHI5",2014,"Acropora hyacinthus",5.5,2.34520787991171,-32,159,7,288,"LHI5_2014",7
"LHI5",2014,"Montipora aequituberculata",3.65,1.91049731745428,-32,159,7,90,"LHI5_2014",7
"LHI3",2014,"Isopora cuneata",8.63333333333333,2.93825344947187,-32,159,7,139,"LHI3_2014",7
"LHI3",2014,"Porites heronensis",2.25,1.5,-32,159,7,134,"LHI3_2014",7
"LHI3",2014,"Stylophora pistillata",1.33333333333333,1.15470053837925,-32,159,7,576,"LHI3_2014",7
"LHI3",2014,"Pocillopora damicornis",2,1.4142135623731,-32,159,7,459,"LHI3_2014",7
"LHI7",2014,"Acanthastrea hillae",1,1,-32,159,6,88,"LHI7_2014",6
"LHI7",2014,"Astrea curta",1,1,-32,159,6,207,"LHI7_2014",6
"LHI7",2014,"Porites heronensis",0,0,NA,NA,6,134,"LHI7_2014",6
"LHI27",2014,"Pocillopora damicornis",3,1.73205080756888,-32,159,6,459,"LHI27_2014",6
"LHI27",2014,"Porites heronensis",3.55,1.88414436814168,-32,159,6,134,"LHI27_2014",6
"LHI27",2014,"Stylophora pistillata",6.1,2.46981780704569,-32,159,6,576,"LHI27_2014",6
"LHI14",2014,"Pocillopora damicornis",0,0,NA,NA,6,459,"LHI14_2014",6
"LHI41",2014,"Isopora cuneata",11.15,3.3391615714128,-32,159,6,139,"LHI41_2014",6
"LHI41",2014,"Pocillopora damicornis",1.5,1.22474487139159,-32,159,6,459,"LHI41_2014",6
"LHI41",2014,"Porites heronensis",2,1.4142135623731,-32,159,6,134,"LHI41_2014",6
"LHI41",2014,"Stylophora pistillata",1.33333333333333,1.15470053837925,-32,159,6,576,"LHI41_2014",6
